image_path,x0,y0,tile_size,contour,ellipse,overlay_image,label
/Hr71.jpg,18944,7168,512,"[[[298, 486]], [[297, 487]], [[295, 487]], [[294, 488]], [[293, 488]], [[291, 490]], [[290, 490]], [[289, 491]], [[288, 491]], [[287, 492]], [[287, 493]], [[284, 496]], [[284, 497]], [[283, 498]], [[283, 499]], [[282, 500]], [[282, 501]], [[281, 502]], [[282, 503]], [[282, 508]], [[279, 511]], [[278, 510]], [[277, 511]], [[290, 511]], [[289, 510]], [[289, 509]], [[290, 508]], [[291, 508]], [[293, 510]], [[293, 511]], [[296, 511]], [[296, 509]], [[297, 508]], [[297, 507]], [[294, 504]], [[294, 503]], [[291, 500]], [[291, 499]], [[292, 498]], [[292, 497]], [[293, 496]], [[295, 498]], [[296, 497]], [[299, 500]], [[300, 499]], [[300, 497]], [[299, 496]], [[300, 495]], [[301, 495]], [[302, 494]], [[301, 493]], [[303, 491]], [[305, 493]], [[305, 494]], [[306, 495]], [[307, 494]], [[310, 497]], [[310, 498]], [[311, 499]], [[312, 498]], [[313, 499]], [[313, 501]], [[310, 504]], [[310, 505]], [[309, 506]], [[308, 505]], [[308, 504]], [[307, 503]], [[306, 503]], [[305, 504]], [[305, 505]], [[306, 506]], [[306, 507]], [[305, 508]], [[303, 508]], [[302, 507]], [[302, 504]], [[300, 502]], [[299, 503]], [[299, 505]], [[300, 506]], [[300, 508]], [[302, 510]], [[301, 511]], [[313, 511]], [[314, 510]], [[314, 509]], [[313, 508]], [[313, 506]], [[317, 502]], [[317, 500]], [[316, 499]], [[317, 498]], [[317, 497]], [[313, 493]], [[313, 492]], [[311, 490]], [[309, 490]], [[307, 488]], [[303, 488]], [[301, 486]], [[300, 487]], [[299, 487]]]","((297.9311218261719, 499.9039306640625), (23.237262725830078, 36.56409454345703), 78.8460693359375)",overlay_00051.png,0
/Hr70.jpg,19456,16896,512,"[[[102, 54]], [[100, 56]], [[99, 56]], [[98, 57]], [[98, 58]], [[96, 60]], [[96, 62]], [[95, 63]], [[95, 70]], [[96, 71]], [[96, 74]], [[97, 75]], [[97, 76]], [[99, 78]], [[99, 79]], [[106, 86]], [[107, 86]], [[108, 87]], [[109, 87]], [[110, 88]], [[112, 88]], [[115, 91]], [[116, 91]], [[117, 90]], [[117, 89]], [[118, 88]], [[118, 87]], [[119, 86]], [[120, 86]], [[121, 85]], [[122, 85]], [[123, 84]], [[124, 84]], [[125, 83]], [[127, 83]], [[128, 82]], [[127, 81]], [[127, 73]], [[126, 72]], [[126, 70]], [[125, 69]], [[125, 67]], [[123, 65]], [[123, 64]], [[122, 63]], [[122, 62]], [[118, 58]], [[117, 58]], [[115, 56]], [[114, 56]], [[113, 55]], [[111, 55]], [[110, 54]]]","((110.89375305175781, 71.29705047607422), (28.324918746948242, 38.307735443115234), 144.37322998046875)",overlay_00054.png,1
/Hr78.jpg,17408,14848,512,"[[[109, 138]], [[106, 141]], [[106, 142]], [[105, 143]], [[105, 147]], [[106, 148]], [[106, 149]], [[108, 151]], [[109, 151]], [[110, 152]], [[113, 152]], [[114, 151]], [[115, 151]], [[119, 147]], [[120, 147]], [[121, 146]], [[122, 146]], [[123, 147]], [[126, 147]], [[128, 145]], [[128, 140]], [[126, 138]], [[123, 138]], [[122, 139]], [[121, 139]], [[120, 140]], [[117, 140]], [[116, 139]], [[115, 139]], [[114, 138]]]","((114.99002838134766, 144.4303741455078), (12.856071472167969, 24.599645614624023), 77.9538803100586)",overlay_00058.png,0
/Hr70.jpg,16384,14848,512,"[[[178, 421]], [[176, 423]], [[175, 422]], [[174, 423]], [[176, 425]], [[177, 424]], [[180, 427]], [[181, 426]], [[183, 428]], [[182, 429]], [[182, 431]], [[183, 432]], [[184, 431]], [[185, 432]], [[186, 432]], [[187, 433]], [[186, 434]], [[186, 438]], [[185, 439]], [[188, 442]], [[189, 441]], [[190, 442]], [[191, 442]], [[192, 443]], [[191, 444]], [[192, 445]], [[192, 448]], [[191, 449]], [[190, 449]], [[189, 450]], [[189, 457]], [[190, 458]], [[190, 459]], [[186, 463]], [[186, 464]], [[187, 465]], [[185, 467]], [[185, 468]], [[181, 472]], [[181, 474]], [[180, 475]], [[180, 477]], [[179, 478]], [[179, 479]], [[180, 480]], [[179, 481]], [[178, 481]], [[177, 482]], [[177, 483]], [[175, 485]], [[175, 486]], [[174, 487]], [[174, 488]], [[173, 489]], [[174, 490]], [[173, 491]], [[172, 491]], [[171, 490]], [[170, 491]], [[170, 493]], [[169, 494]], [[169, 495]], [[168, 496]], [[167, 496]], [[164, 493]], [[163, 494]], [[162, 493]], [[161, 494]], [[162, 495]], [[162, 496]], [[161, 497]], [[159, 495]], [[158, 495]], [[156, 497]], [[155, 497]], [[154, 496]], [[153, 497]], [[153, 498]], [[151, 500]], [[150, 499]], [[150, 498]], [[149, 497]], [[150, 496]], [[149, 495]], [[148, 495]], [[147, 496]], [[148, 497]], [[148, 499]], [[147, 500]], [[143, 496]], [[141, 498]], [[140, 498]], [[139, 499]], [[139, 500]], [[138, 501]], [[137, 501]], [[135, 499]], [[134, 500]], [[132, 500]], [[131, 499]], [[128, 502]], [[127, 502]], [[125, 504]], [[122, 501]], [[121, 502]], [[122, 503]], [[118, 507]], [[117, 507]], [[116, 506]], [[117, 505]], [[114, 502]], [[113, 503]], [[111, 501]], [[110, 501]], [[109, 500]], [[109, 499]], [[108, 498]], [[109, 497]], [[111, 497]], [[112, 496]], [[110, 494]], [[107, 497]], [[106, 496]], [[106, 495]], [[105, 494]], [[105, 493]], [[106, 492]], [[106, 489]], [[105, 488]], [[105, 487]], [[106, 486]], [[106, 483]], [[107, 482]], [[108, 482]], [[109, 483]], [[110, 483]], [[111, 482]], [[110, 481]], [[108, 481]], [[107, 480]], [[107, 477]], [[106, 476]], [[108, 474]], [[109, 475]], [[110, 474]], [[110, 472]], [[111, 471]], [[112, 472]], [[113, 472]], [[116, 475]], [[115, 476]], [[116, 477]], [[117, 476]], [[115, 474]], [[116, 473]], [[116, 472]], [[115, 471]], [[114, 471]], [[113, 470]], [[113, 469]], [[112, 468]], [[112, 466]], [[115, 463]], [[114, 462]], [[114, 461]], [[115, 460]], [[116, 460]], [[117, 461]], [[118, 460]], [[118, 458]], [[117, 457]], [[116, 458]], [[115, 458]], [[114, 459]], [[112, 457]], [[111, 457]], [[110, 456]], [[111, 455]], [[111, 453]], [[110, 452]], [[107, 452]], [[106, 453]], [[105, 453]], [[104, 454]], [[105, 455]], [[105, 456]], [[106, 457]], [[108, 457]], [[109, 458]], [[107, 460]], [[109, 462]], [[108, 463]], [[108, 464]], [[107, 465]], [[108, 466]], [[103, 471]], [[103, 472]], [[102, 473]], [[102, 474]], [[100, 476]], [[100, 479]], [[99, 480]], [[100, 481]], [[100, 484]], [[99, 485]], [[99, 494]], [[98, 495]], [[99, 496]], [[99, 500]], [[102, 503]], [[102, 505]], [[104, 507]], [[105, 507]], [[106, 508]], [[107, 508]], [[108, 509]], [[110, 509]], [[111, 510]], [[121, 510]], [[122, 509]], [[130, 509]], [[131, 508]], [[132, 508]], [[133, 507]], [[134, 507]], [[135, 506]], [[136, 506]], [[137, 505]], [[138, 505]], [[139, 504]], [[142, 504]], [[144, 506]], [[147, 506]], [[148, 505]], [[149, 505]], [[150, 504]], [[153, 504]], [[154, 503]], [[156, 503]], [[158, 501]], [[161, 501]], [[166, 506]], [[167, 505]], [[168, 506]], [[172, 506]], [[175, 503]], [[175, 502]], [[176, 501]], [[176, 500]], [[177, 499]], [[177, 498]], [[178, 497]], [[178, 495]], [[179, 494]], [[179, 493]], [[180, 492]], [[180, 491]], [[182, 489]], [[182, 488]], [[183, 487]], [[184, 487]], [[185, 486]], [[185, 485]], [[186, 484]], [[186, 482]], [[187, 481]], [[187, 479]], [[192, 474]], [[192, 467]], [[194, 465]], [[194, 464]], [[196, 462]], [[196, 461]], [[194, 459]], [[194, 457]], [[195, 456]], [[195, 453]], [[194, 452]], [[194, 451]], [[195, 450]], [[195, 447]], [[194, 446]], [[194, 445]], [[192, 443]], [[193, 442]], [[193, 441]], [[192, 440]], [[192, 439]], [[191, 438]], [[191, 437]], [[190, 436]], [[190, 434]], [[186, 430]], [[185, 430]], [[182, 427]], [[183, 426]], [[181, 424]], [[181, 422]], [[180, 421]]]","((149.16297912597656, 465.9358215332031), (71.9736099243164, 101.805419921875), 50.73299026489258)",overlay_00059.png,0
/Hr71.jpg,16384,12288,512,"[[[22, 64]], [[21, 65]], [[20, 65]], [[18, 67]], [[18, 68]], [[17, 69]], [[15, 69]], [[14, 70]], [[12, 70]], [[10, 72]], [[10, 73]], [[8, 75]], [[7, 75]], [[6, 76]], [[6, 79]], [[7, 80]], [[7, 82]], [[9, 84]], [[10, 84]], [[12, 86]], [[13, 86]], [[14, 87]], [[14, 88]], [[15, 89]], [[15, 91]], [[16, 92]], [[16, 96]], [[17, 97]], [[17, 99]], [[18, 100]], [[18, 102]], [[22, 106]], [[23, 105]], [[23, 102]], [[22, 101]], [[22, 98]], [[21, 97]], [[21, 95]], [[20, 94]], [[20, 93]], [[19, 92]], [[19, 91]], [[18, 90]], [[18, 89]], [[17, 88]], [[17, 87]], [[19, 85]], [[19, 84]], [[20, 83]], [[20, 82]], [[22, 80]], [[22, 79]], [[23, 78]], [[23, 75]], [[22, 74]], [[22, 73]], [[26, 69]], [[26, 67]], [[23, 64]]]","((17.752094268798828, 81.45194244384766), (19.58890724182129, 37.62396240234375), 168.98342895507812)",overlay_00060.png,0
/Hr70.jpg,15360,12288,512,"[[[327, 316]], [[326, 317]], [[328, 319]], [[329, 319]], [[330, 320]], [[330, 321]], [[331, 322]], [[332, 322]], [[333, 323]], [[333, 325]], [[335, 327]], [[335, 328]], [[337, 330]], [[337, 331]], [[336, 332]], [[334, 330]], [[333, 330]], [[332, 331]], [[329, 331]], [[327, 329]], [[326, 329]], [[324, 327]], [[322, 327]], [[321, 328]], [[321, 329]], [[320, 330]], [[319, 329]], [[318, 329]], [[315, 332]], [[315, 333]], [[314, 334]], [[314, 335]], [[313, 336]], [[311, 334]], [[310, 334]], [[309, 335]], [[309, 336]], [[310, 337]], [[310, 338]], [[311, 339]], [[312, 339]], [[313, 340]], [[313, 341]], [[310, 344]], [[310, 345]], [[311, 346]], [[313, 344]], [[313, 343]], [[314, 342]], [[315, 343]], [[316, 343]], [[317, 344]], [[317, 347]], [[318, 348]], [[318, 349]], [[317, 350]], [[317, 351]], [[318, 352]], [[319, 352]], [[320, 353]], [[319, 354]], [[319, 357]], [[320, 358]], [[320, 359]], [[322, 361]], [[322, 362]], [[320, 364]], [[321, 365]], [[321, 366]], [[320, 367]], [[319, 367]], [[318, 368]], [[318, 370]], [[319, 371]], [[317, 373]], [[316, 373]], [[314, 375]], [[313, 375]], [[312, 376]], [[313, 377]], [[313, 378]], [[312, 379]], [[314, 381]], [[314, 384]], [[315, 385]], [[315, 386]], [[313, 388]], [[312, 388]], [[311, 387]], [[308, 390]], [[307, 389]], [[306, 390]], [[304, 390]], [[303, 389]], [[302, 390]], [[301, 389]], [[299, 389]], [[296, 392]], [[296, 393]], [[295, 394]], [[294, 394]], [[292, 392]], [[291, 392]], [[290, 391]], [[290, 390]], [[291, 389]], [[290, 388]], [[288, 390]], [[287, 389]], [[285, 391]], [[284, 390]], [[283, 390]], [[281, 388]], [[280, 389]], [[277, 389]], [[275, 387]], [[273, 387]], [[271, 389]], [[270, 389]], [[269, 390]], [[267, 388]], [[266, 389]], [[265, 389]], [[264, 390]], [[263, 390]], [[260, 393]], [[259, 392]], [[259, 391]], [[258, 390]], [[257, 390]], [[256, 391]], [[255, 391]], [[254, 390]], [[253, 390]], [[252, 389]], [[252, 387]], [[250, 385]], [[250, 384]], [[247, 381]], [[248, 380]], [[252, 380]], [[254, 378]], [[253, 377]], [[255, 375]], [[255, 374]], [[254, 373]], [[254, 372]], [[257, 369]], [[258, 370]], [[258, 371]], [[260, 373]], [[262, 373]], [[263, 374]], [[264, 374]], [[265, 373]], [[267, 373]], [[268, 372]], [[269, 372]], [[270, 371]], [[270, 370]], [[274, 366]], [[275, 366]], [[276, 367]], [[274, 369]], [[275, 370]], [[276, 370]], [[277, 369]], [[278, 369]], [[279, 370]], [[280, 369]], [[278, 367]], [[278, 366]], [[279, 365]], [[279, 363]], [[278, 362]], [[278, 361]], [[277, 360]], [[276, 361]], [[275, 360]], [[275, 359]], [[277, 357]], [[276, 356]], [[275, 357]], [[274, 357]], [[272, 359]], [[270, 359]], [[268, 357]], [[269, 356]], [[269, 355]], [[268, 354]], [[268, 350]], [[269, 349]], [[269, 347]], [[271, 345]], [[272, 346]], [[273, 346]], [[275, 344]], [[278, 344]], [[279, 343]], [[281, 343]], [[283, 341]], [[282, 340]], [[279, 340]], [[278, 339]], [[276, 339]], [[275, 340]], [[274, 340]], [[273, 341]], [[272, 340]], [[271, 340]], [[269, 342]], [[269, 343]], [[266, 346]], [[266, 348]], [[265, 349]], [[265, 355]], [[266, 356]], [[266, 358]], [[267, 359]], [[267, 360]], [[268, 361]], [[268, 363]], [[269, 364]], [[269, 365]], [[266, 368]], [[263, 368]], [[262, 367]], [[260, 367]], [[259, 366]], [[253, 366]], [[252, 367]], [[249, 367]], [[248, 368]], [[245, 368]], [[243, 370]], [[243, 371]], [[242, 372]], [[243, 373]], [[240, 376]], [[240, 377]], [[238, 379]], [[231, 379]], [[230, 380]], [[227, 380]], [[225, 382]], [[225, 386]], [[226, 387]], [[226, 388]], [[227, 389]], [[227, 390]], [[230, 393]], [[233, 393]], [[234, 392]], [[235, 393]], [[237, 393]], [[238, 392]], [[239, 392]], [[240, 393]], [[241, 393]], [[242, 394]], [[243, 394]], [[246, 397]], [[247, 397]], [[248, 398]], [[249, 397]], [[250, 398]], [[253, 398]], [[255, 400]], [[256, 400]], [[257, 401]], [[261, 401]], [[262, 400]], [[264, 400]], [[265, 399]], [[266, 399]], [[267, 398]], [[268, 398]], [[269, 397]], [[269, 396]], [[270, 395]], [[270, 393]], [[271, 392]], [[275, 392]], [[277, 394]], [[277, 396]], [[278, 397]], [[278, 401]], [[281, 404]], [[285, 404]], [[286, 405]], [[287, 404]], [[291, 404]], [[295, 400]], [[296, 400]], [[298, 398]], [[300, 398]], [[301, 397]], [[302, 398]], [[304, 398]], [[305, 397]], [[307, 397]], [[308, 396]], [[311, 396]], [[312, 395]], [[317, 395]], [[319, 393]], [[319, 392]], [[320, 391]], [[320, 390]], [[321, 389]], [[321, 388]], [[322, 387]], [[322, 386]], [[324, 384]], [[324, 383]], [[325, 382]], [[325, 381]], [[326, 380]], [[326, 379]], [[324, 377]], [[324, 376]], [[326, 374]], [[327, 375]], [[328, 375]], [[329, 374]], [[329, 372]], [[328, 371]], [[328, 366]], [[327, 365]], [[327, 364]], [[326, 363]], [[326, 362]], [[324, 360]], [[324, 357]], [[323, 356]], [[323, 355]], [[322, 354]], [[322, 352]], [[321, 351]], [[321, 348]], [[324, 345]], [[325, 345]], [[326, 344]], [[327, 344]], [[328, 343]], [[329, 343]], [[330, 342]], [[333, 342]], [[335, 344]], [[336, 344]], [[337, 343]], [[335, 341]], [[335, 340]], [[336, 339]], [[335, 338]], [[335, 337]], [[336, 336]], [[337, 337]], [[338, 336]], [[338, 335]], [[339, 334]], [[338, 333]], [[340, 331]], [[339, 330]], [[339, 326]], [[338, 325]], [[338, 324]], [[334, 320]], [[333, 320]], [[332, 319]], [[331, 319]], [[329, 317]], [[328, 317]]]","((292.32464599609375, 365.5850524902344), (59.31171798706055, 109.68431854248047), 58.07105255126953)",overlay_00061.png,0
/Hr71.jpg,13824,8704,512,"[[[218, 305]], [[217, 306]], [[214, 306]], [[211, 309]], [[211, 312]], [[210, 313]], [[210, 314]], [[211, 315]], [[211, 319]], [[212, 320]], [[212, 321]], [[214, 323]], [[214, 324]], [[215, 325]], [[216, 325]], [[218, 327]], [[221, 327]], [[222, 328]], [[227, 328]], [[228, 329]], [[229, 329]], [[230, 330]], [[235, 330]], [[236, 331]], [[236, 336]], [[238, 338]], [[241, 338]], [[242, 337]], [[242, 334]], [[239, 331]], [[238, 331]], [[237, 330]], [[237, 328]], [[239, 326]], [[239, 324]], [[240, 323]], [[239, 322]], [[239, 320]], [[233, 314]], [[233, 313]], [[232, 312]], [[232, 311]], [[228, 307]], [[227, 307]], [[226, 306]], [[225, 306]], [[224, 305]]]","((225.19512939453125, 319.3214111328125), (20.88225746154785, 39.7248420715332), 134.95677185058594)",overlay_00062.png,0
/Hr74.jpg,9216,22528,512,"[[[288, 194]], [[287, 195]], [[286, 195]], [[285, 196]], [[282, 196]], [[281, 197]], [[281, 198]], [[280, 199]], [[279, 199]], [[278, 198]], [[276, 198]], [[275, 199]], [[274, 199]], [[271, 202]], [[271, 204]], [[273, 206]], [[275, 206]], [[276, 207]], [[276, 208]], [[277, 209]], [[278, 208]], [[278, 207]], [[276, 205]], [[276, 204]], [[277, 203]], [[278, 203]], [[279, 202]], [[282, 205]], [[283, 205]], [[285, 207]], [[286, 206]], [[286, 205]], [[288, 203]], [[288, 202]], [[287, 201]], [[287, 199]], [[288, 198]], [[289, 198]], [[291, 200]], [[291, 201]], [[292, 202]], [[297, 197]], [[298, 197]], [[299, 198]], [[298, 199]], [[298, 201]], [[299, 202]], [[300, 202]], [[302, 204]], [[304, 204]], [[305, 205]], [[303, 207]], [[304, 208]], [[305, 208]], [[308, 205]], [[308, 202]], [[309, 201]], [[312, 204]], [[312, 206]], [[313, 207]], [[313, 210]], [[314, 211]], [[316, 209]], [[316, 208]], [[315, 207]], [[315, 206]], [[316, 205]], [[315, 204]], [[315, 201]], [[313, 199]], [[312, 199]], [[311, 200]], [[310, 200]], [[309, 199]], [[309, 198]], [[308, 197]], [[306, 199]], [[304, 197]], [[300, 197]], [[299, 196]], [[298, 197]], [[297, 197]], [[296, 196]], [[294, 196]], [[293, 195]], [[289, 195]]]","((294.44061279296875, 203.3616485595703), (15.309261322021484, 41.72993087768555), 93.85394287109375)",overlay_00063.png,0
/Hr70.jpg,17920,13824,512,"[[[83, 197]], [[79, 201]], [[78, 201]], [[77, 202]], [[77, 207]], [[78, 208]], [[79, 208]], [[81, 210]], [[81, 211]], [[83, 213]], [[84, 213]], [[85, 214]], [[86, 213]], [[85, 212]], [[85, 211]], [[86, 210]], [[85, 209]], [[87, 207]], [[88, 208]], [[89, 207]], [[90, 208]], [[91, 208]], [[92, 209]], [[90, 211]], [[90, 213]], [[89, 214]], [[89, 215]], [[88, 216]], [[88, 217]], [[89, 218]], [[89, 231]], [[90, 232]], [[90, 233]], [[95, 238]], [[95, 239]], [[96, 240]], [[97, 240]], [[101, 244]], [[101, 246]], [[103, 248]], [[105, 248]], [[106, 247]], [[112, 247]], [[113, 248]], [[114, 248]], [[115, 249]], [[116, 249]], [[117, 250]], [[118, 250]], [[120, 252]], [[122, 252]], [[123, 253]], [[125, 253]], [[126, 254]], [[134, 254]], [[135, 253]], [[137, 253]], [[138, 254]], [[139, 254]], [[142, 257]], [[143, 257]], [[144, 258]], [[145, 257]], [[145, 246]], [[146, 245]], [[146, 242]], [[147, 241]], [[147, 240]], [[148, 239]], [[148, 236]], [[149, 235]], [[149, 232]], [[148, 231]], [[148, 229]], [[146, 227]], [[146, 226]], [[145, 225]], [[144, 225]], [[142, 223]], [[141, 223]], [[138, 220]], [[138, 219]], [[137, 218]], [[137, 215]], [[136, 214]], [[136, 210]], [[135, 209]], [[135, 208]], [[134, 207]], [[132, 207]], [[129, 204]], [[127, 204]], [[126, 203]], [[125, 203]], [[124, 202]], [[123, 202]], [[122, 201]], [[120, 201]], [[119, 200]], [[118, 200]], [[117, 199]], [[115, 199]], [[113, 201]], [[112, 201]], [[111, 202]], [[110, 201]], [[108, 201]], [[107, 200]], [[106, 200]], [[105, 201]], [[104, 200]], [[101, 203]], [[100, 202]], [[99, 203]], [[98, 202]], [[96, 202]], [[95, 201]], [[93, 201]], [[92, 200]], [[91, 200]], [[89, 198]], [[87, 198]], [[86, 197]]]","((116.34031677246094, 226.0092010498047), (46.0926513671875, 75.51554107666016), 125.47535705566406)",overlay_00067.png,0
/Hr105.jpg,18432,22016,512,"[[[197, 145]], [[196, 146]], [[198, 148]], [[200, 148]], [[205, 153]], [[206, 153]], [[207, 154]], [[208, 154]], [[209, 155]], [[210, 155]], [[211, 156]], [[211, 158]], [[213, 160]], [[213, 162]], [[214, 163]], [[214, 164]], [[216, 166]], [[216, 168]], [[217, 169]], [[221, 169]], [[225, 173]], [[226, 173]], [[227, 172]], [[226, 171]], [[226, 170]], [[225, 169]], [[225, 168]], [[226, 167]], [[226, 165]], [[224, 163]], [[223, 163]], [[220, 160]], [[219, 160]], [[215, 156]], [[215, 155]], [[213, 153]], [[213, 152]], [[212, 151]], [[209, 151]], [[206, 148]], [[205, 148]], [[204, 147]], [[201, 147]], [[199, 145]]]","((213.71592712402344, 159.12274169921875), (8.932574272155762, 37.91621398925781), 132.38674926757812)",overlay_00070.png,0
